team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef,teamcode,Team,CONF,DIV,GP,PPG,OPPPPG,AVGPTDIFF,PACE,oEFF,dEFF,EFFDIFF,SOS,SCHEDADJRATING,CONSISTENCYRATING,ADJ4FACTORS,WINS,LOSSES,WINPerc,EWINPerc,PROJWINPerc,AchievementLevel,Season,MIN,OffRtg,DefRtg,NetRtg,ASTPerc,ASTToTO,ASTRatio,OREBPerc,DREBPerc,REBPerc,TOVPerc,eFGPerc,TSPerc,PIE,Playoff
ORL,82,7.5,6.9,1.18,8.9,3.7,6.4,58.4,58.4,16,4.4,15.2,4.7,59.6,27.6,2015,cut,offense,ORL2015,ORL,East,Southeast,82,102.1,103.7,-1.6,96,105.1,106.8,-1.7,-0.56,-2.26,13.1,-0.034,35,47,0.427,0.447,0.448,-0.021,2015,3981,104.4,106,-1.6,59.6,1.67,17.6,27.1,72.6,49.5,14.4,50,53.3,48.8,0
CHA,82,7.3,6.8,1.2,8.7,3.4,5.9,57.8,57.8,18.1,4.9,17.8,4.5,60.4,34.5,2015,cut,offense,CHA2015,CHA,East,Southeast,82,103.4,100.7,2.7,95.7,107.2,104.3,2.9,-0.92,1.98,14,-0.003,48,34,0.585,0.589,0.582,0.003,2015,3971,106.4,103.7,2.7,58.6,1.73,16.7,24.4,75.4,49.9,12.9,50.2,54.5,51.1,0
LAC,82,6.4,6,1.3,8.3,3.6,5,71.4,71.4,19.1,7.6,18.4,5.5,67.9,96.6,2015,cut,offense,LAC2015,LAC,West,Pacific,82,104.5,100.2,4.3,95.8,108.3,103.9,4.4,0.75,5.15,13.2,0.03,53,29,0.646,0.642,0.631,0.015,2015,3966,107.2,102.7,4.5,59.6,1.76,17.4,23.4,69.7,47.2,13.3,52.4,55.6,53.3,1
LAL,82,6.6,6.1,1.24,8.1,3.3,5.2,62.8,62.8,16.3,6.7,15.8,3,62.2,65.5,2015,cut,offense,LAL2015,LAL,West,Pacific,82,97.3,106.9,-9.6,95.6,101.6,111.6,-10,1.71,-8.29,13.2,-0.091,17,65,0.207,0.184,0.224,-0.017,2015,3946,100.7,110.3,-9.7,51.3,1.31,14.1,27.1,71.2,48.4,14.2,46,50.9,42.4,0
TOR,82,6.4,6.1,1.25,8,3.3,5.2,63.8,63.8,16,6.5,14.7,4,63.4,79.3,2015,cut,offense,TOR2015,TOR,East,Atlantic,82,102.7,98.2,4.5,92.9,110,105.2,4.8,-0.67,4.13,11.8,0.012,56,26,0.683,0.648,0.658,0.025,2015,3956,109.3,104.8,4.4,51.1,1.43,14.9,30,73.6,52,13.9,50.4,55.2,52.5,1
NOP,82,6.5,6,1.24,8,3.2,5.1,63.9,63.9,17.2,7,15.3,2.6,63.8,62.1,2015,cut,offense,NOP2015,NOP,West,Southwest,82,102.7,106.5,-3.8,96.8,105.6,109.5,-3.9,0.65,-3.25,11.5,-0.044,30,52,0.366,0.375,0.367,-0.001,2015,3956,104.8,108.4,-3.7,57.7,1.65,16.8,25.2,74.8,49.3,13.7,49.8,53.7,47.2,1
DET,82,5.8,5.2,1.26,7.3,2.9,4.6,64,64,21.1,4.2,19.9,4.7,64.7,89.7,2015,cut,offense,DET2015,DET,East,Central,82,102,101.4,0.6,95.1,106.2,105.5,0.7,0.25,0.95,12.9,-0.006,44,38,0.537,0.52,0.522,0.015,2015,3976,105.3,104.9,0.3,51.2,1.44,14.8,31.3,75.3,52.1,14,49.1,52.2,48.6,0
GSW,82,13.6,12.3,1.33,18.1,7.7,11.1,69.9,69.9,15.9,6.6,15.4,4.1,67.5,93.1,2016,cut,offense,GSW2016,GSW,West,Pacific,82,115.9,104.3,11.6,99.7,115.6,104,11.6,-1.14,10.46,15.9,0.109,67,15,0.817,0.882,0.768,0.049,2016,3956,114.8,103.4,11.4,70.5,2.06,21.2,27.2,70.9,50.4,14.6,56.3,59.7,57.9,1
DEN,82,10.3,9.2,1.34,13.8,5.8,8.3,69,69,16.9,6.3,16.8,4.3,67.3,96.6,2016,cut,offense,DEN2016,DEN,West,Northwest,82,111.7,111.2,0.5,98.3,113.3,112.7,0.6,0.15,0.75,14.1,0.042,40,42,0.488,0.516,0.517,-0.029,2016,3951,112.2,111.7,0.4,61.5,1.69,18.2,31.4,75.3,53.2,15,53,56.8,50.3,0
MIL,82,10.3,9.8,1.3,13.3,5.5,8.3,66.4,66.4,18,5.7,17.5,4.8,66.1,79.3,2016,cut,offense,MIL2016,MIL,East,Central,82,103.6,103.8,-0.2,94.5,109.1,109.3,-0.2,-0.98,-1.18,14.3,0,42,40,0.512,0.493,0.494,0.018,2016,3956,108.5,108.7,-0.2,62.4,1.73,18.5,26,70.6,48.7,14.6,52.7,56.5,50.4,0
HOU,82,8.3,7.4,1.38,11.5,5.1,6.9,73.2,73.2,16.5,6.7,16.5,6.6,68.5,100,2016,cut,offense,HOU2016,HOU,West,Southwest,82,115.3,109.6,5.7,99.9,114.8,109.1,5.7,-0.57,5.13,14,0.037,55,27,0.671,0.688,0.658,0.013,2016,3956,114.1,108.4,5.7,62.6,1.67,18.1,28.1,71.7,49.9,15,54.5,58.3,51.6,1
UTA,82,9.2,9,1.24,11.4,4.6,7.3,62.9,62.9,18.8,6,18.8,4.8,62.6,41.4,2016,cut,offense,UTA2016,UTA,West,Northwest,82,100.7,96.8,3.9,91.5,109.6,105.3,4.3,-0.82,3.48,14.5,0.075,51,31,0.622,0.628,0.617,0.005,2016,3951,109,104.7,4.3,54.4,1.48,16.2,27,74.3,51.4,14.8,52.6,56.3,53.4,0
