team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
CHI,65,24.3,21.6,0.82,19.9,7.7,18.6,41.5,46.1,8.4,16.7,7.5,1.6,38,6.9,2019,pnr-handler,offense
ORL,65,22.4,20.4,0.88,19.8,7.3,17.7,41.5,46,10.1,13.1,9.3,2.1,40.5,65.5,2019,pnr-handler,offense
SAS,63,20.6,18.6,0.96,19.8,7.6,17,44.8,48.3,10.5,9.3,9.5,2.4,45,89.7,2019,pnr-handler,offense
CLE,65,23.1,20.6,0.82,19,7.4,18,41.3,45.4,7.5,16.3,6.4,1.7,37.7,10.3,2019,pnr-handler,offense
MIA,65,21.7,19.8,0.87,18.8,6.7,16.6,40.6,45,10.9,13.6,9.4,1.3,40.5,51.7,2019,pnr-handler,offense
SAC,64,21.2,19.2,0.88,18.6,7,16.4,42.7,47.3,10.1,14.2,9.4,1.7,41,62.1,2019,pnr-handler,offense
IND,65,21,19.2,0.87,18.3,7.8,17.3,44.9,47.4,6.4,12.3,5.7,1,41.9,55.2,2019,pnr-handler,offense
WAS,64,21.5,18.7,0.86,18.5,7.1,16.8,42.4,46.4,8.8,13.5,7.3,0.9,40.6,48.3,2019,pnr-handler,offense
MEM,65,20.8,18.1,0.85,17.6,6.9,16.1,42.6,45.6,9.9,14.8,8.7,2.2,40.4,37.9,2019,pnr-handler,offense
MIN,64,19.9,17,0.89,17.7,6.3,14.9,42.4,47.4,11.9,14.9,10.5,1.7,41.5,69,2019,pnr-handler,offense
DET,66,20.2,18.4,0.84,17,6.7,15.8,42.7,46.2,8.2,15.5,7.1,1.8,39.5,34.5,2019,pnr-handler,offense
GSW,65,19.5,17.4,0.82,16,5.8,15,38.9,43,9.9,14.1,8.8,1.3,38.2,13.8,2019,pnr-handler,offense
NYK,66,20.2,17.8,0.78,15.7,6.2,15.6,39.8,42.7,9.5,14.4,8.6,1.5,37.7,3.4,2019,pnr-handler,offense
CHA,65,18.4,16.9,0.83,15.4,5.5,14.1,38.8,45.6,8.5,16.5,6.8,1.5,36.5,20.7,2019,pnr-handler,offense
PHX,65,18,15.9,0.83,15,5.6,12.9,43.6,46.8,10.1,19.4,8.8,1.5,39.5,17.2,2019,pnr-handler,offense
NOP,64,19.8,16.8,0.77,15.2,5.9,15.1,39,43,8.1,17.5,7.4,2.1,35.4,0,2019,pnr-handler,offense
MIL,65,15.2,13.2,0.94,14.3,5.4,11.9,45.3,50.6,10.3,13.8,8.9,2.2,43.1,79.3,2019,pnr-handler,offense
DEN,65,16.3,14.8,0.83,13.6,5.5,13.5,40.8,44.5,6.6,12.5,5.7,1.7,38.5,24.1,2019,pnr-handler,offense
LAL,63,16.3,14.4,0.86,14,5.5,13,42.4,47,7.8,14,7,1.8,39.5,41.4,2019,pnr-handler,offense
TOR,64,15.7,14,0.88,13.7,4.7,11.5,40.9,47.8,10.9,17.3,8.4,1.3,39.2,58.6,2019,pnr-handler,offense
PHI,65,14.5,13.1,0.84,12.2,4.9,11.5,42.5,44.8,9.4,13.7,7.9,2,40.7,27.6,2019,pnr-handler,offense
HOU,64,11.8,10.3,0.96,11.4,3.9,8.2,47.5,54.2,13.9,19.4,12.4,2.5,43.6,82.8,2019,pnr-handler,offense
MIL,82,6.4,5.9,0.93,5.9,2.4,5.3,45.4,47.9,10.7,8.6,10.2,3.1,45.2,96.6,2015,pnr-rollman,defense
HOU,82,6.5,5.8,0.98,6.4,2.5,5.3,47.6,50.5,10.5,8.4,9.3,0.6,48.2,79.3,2015,pnr-rollman,defense
PHX,82,6.3,5.7,1.03,6.5,2.6,5,50.7,53.5,14.5,8.3,13,3.5,50.4,41.4,2015,pnr-rollman,defense
LAC,82,6.6,6,1.02,6.7,2.8,5.5,50.3,53.3,9.6,9.1,8.3,2,49.4,55.2,2015,pnr-rollman,defense
DAL,82,6.8,6.2,1,6.7,2.7,5.5,48.8,52.3,13.3,8.5,13.2,3.2,48.6,72.4,2015,pnr-rollman,defense
MEM,82,6.6,6.3,1.02,6.8,2.7,5.4,50.6,52.7,13.2,9.2,12.1,3.5,49.7,51.7,2015,pnr-rollman,defense
MIA,82,7.4,7,0.95,7,2.9,6.2,46.5,49.2,9.6,7.6,9.4,1.5,46.1,89.7,2015,pnr-rollman,defense
OKC,82,7.4,6.7,0.95,7,2.9,6.3,46.4,47.5,10.7,6.4,10.4,2.3,47.2,93.1,2015,pnr-rollman,defense
BOS,82,7.4,6.6,0.97,7.2,2.9,6.3,45.8,49.3,10.5,7.1,10,2.1,46.4,82.8,2015,pnr-rollman,defense
SAS,82,8.1,7.7,0.91,7.4,3,6.7,43.9,45.8,10.9,7.6,10.3,2,44.7,100,2015,pnr-rollman,defense
SAC,82,7,6.2,1.05,7.4,3,5.7,52.7,54.9,12.8,9.5,11.4,3.1,51.6,31,2015,pnr-rollman,defense
UTA,82,7.7,7.5,0.96,7.4,2.8,6.2,44.8,48,12.5,8.2,12.2,1.7,46.3,86.2,2015,pnr-rollman,defense
GSW,82,7,6.2,1.06,7.4,3.1,5.6,54.5,56.7,13.8,8.9,13.6,3.5,52.4,17.2,2015,pnr-rollman,defense
ORL,82,7.2,6.6,1.03,7.4,3,5.9,49.9,52.8,13.2,6.6,12.4,2.5,50.3,44.8,2015,pnr-rollman,defense
LAL,82,7.4,6.9,1.01,7.5,3,6,49.8,51.4,15.3,6.9,14.5,3.5,50.6,65.5,2015,pnr-rollman,defense
TOR,82,7.1,6.8,1.06,7.5,3,6,50.7,54.3,11.7,6.9,11,3.1,50.3,24.1,2015,pnr-rollman,defense
ATL,82,7.6,6.8,1,7.6,3,6.3,47.3,51.3,11.2,7.4,10.9,2.1,47.7,69,2015,pnr-rollman,defense
DEN,82,7.2,6.7,1.07,7.7,3.1,5.9,53.6,56,13.1,8.8,11.9,3.6,52.3,10.3,2015,pnr-rollman,defense
MIN,82,7.4,6.8,1.05,7.7,3.2,6.1,51.8,54.6,12.2,8.8,11.7,3.8,49.9,34.5,2015,pnr-rollman,defense
NYK,82,7.8,7.3,1.01,7.8,3.2,6.7,48.4,51.1,10.7,5.2,10,1.9,49,62.1,2015,pnr-rollman,defense
WAS,82,7.5,6.8,1.07,8,3.2,6.2,52.1,55.2,12.6,8,12.3,3.3,51.6,6.9,2015,pnr-rollman,defense
BKN,82,7.7,7.2,1.06,8.2,3.4,6.2,54.4,56.5,11.4,10.3,10.5,2.2,52.4,13.8,2015,pnr-rollman,defense
POR,82,8,7.4,1.03,8.3,3.3,6.6,49.4,52,13.4,5.8,12.9,1.7,51.1,48.3,2015,pnr-rollman,defense
CHA,82,8.4,7.8,0.99,8.3,3.3,7.1,47,50.7,9.4,7.8,9,1.7,46.8,75.9,2015,pnr-rollman,defense
CHI,82,7.9,7.2,1.06,8.4,3.5,6.9,51.8,55.2,9.7,6,9.4,2,51.5,27.6,2015,pnr-rollman,defense
PHI,82,7.7,6.9,1.1,8.5,3.5,6.6,52.9,55.5,11.1,6,10.1,2.9,53.1,0,2015,pnr-rollman,defense
NOP,82,8.5,7.9,1.01,8.6,3.4,6.9,48.9,52.6,12.2,8.5,10.8,2.3,48.7,58.6,2015,pnr-rollman,defense
IND,82,8.3,7.5,1.04,8.6,3.4,6.9,50.2,54.3,11.9,7.7,11.2,2.5,50.1,37.9,2015,pnr-rollman,defense
CLE,82,8.1,7.8,1.07,8.7,3.6,6.9,52.6,54.6,11.3,5.7,10.5,2.4,52.4,3.4,2015,pnr-rollman,defense
DET,82,9.8,9.2,1.06,10.4,4.2,8.2,51.1,54.1,11.2,6.6,10.3,1.9,51.7,20.7,2015,pnr-rollman,defense
MEM,82,6.3,6.1,0.97,6.1,2.3,5,46.8,51.6,13.2,10.6,12.4,2.3,45.8,96.6,2016,pnr-rollman,defense
GSW,82,6.3,5.6,1.01,6.4,2.6,5.1,50.7,53.2,11.6,10,10.8,3.1,48.6,75.9,2016,pnr-rollman,defense
LAC,82,6.4,6,0.99,6.4,2.5,5.3,46.1,49.8,12.5,6.3,12.7,2.5,47.1,93.1,2016,pnr-rollman,defense
MIL,82,6.6,6.2,1.02,6.7,2.6,5.3,49.5,53.5,12,10,11.5,2.2,49.1,58.6,2016,pnr-rollman,defense
PHX,82,6.4,5.6,1.08,6.9,2.5,5.1,49.6,54.3,14.7,8.4,13.2,3.4,50.1,24.1,2016,pnr-rollman,defense
DAL,82,6.3,6.2,1.09,6.9,2.7,5.1,53.5,56.6,14.4,8.3,14.4,3.5,52.5,10.3,2016,pnr-rollman,defense
HOU,82,5.9,5.2,1.19,6.9,2.8,5,56.7,60.1,12.3,6.3,11,2.9,56.7,0,2016,pnr-rollman,defense
TOR,82,6.6,6.2,1.06,7,2.8,5.6,50.1,53.6,10.9,7,10.9,2.8,50.3,37.9,2016,pnr-rollman,defense
BOS,82,7.5,6.8,0.94,7,2.8,6.1,45,49.1,10.3,9.3,9.6,1.3,45,100,2016,pnr-rollman,defense
LAL,82,7,6.4,1.04,7.3,2.8,5.8,48.8,52,13.2,6.6,13.5,2.3,50.3,44.8,2016,pnr-rollman,defense
PHI,82,7.2,6.5,1.02,7.3,2.9,6,47.9,50.9,13.3,6.7,13.2,3.5,48.9,62.1,2016,pnr-rollman,defense
MIN,82,7.5,7,1,7.5,2.9,6.3,46.6,51.2,10.9,7.5,10.6,1.9,46.8,89.7,2016,pnr-rollman,defense
NOP,82,7.4,6.7,1.01,7.5,3,6.4,47.5,51.1,10,6.7,10,2.5,47.8,72.4,2016,pnr-rollman,defense
POR,82,7.1,6.4,1.06,7.5,2.9,5.8,50.2,53.8,14.3,7.1,14.3,3.1,51.1,27.6,2016,pnr-rollman,defense
SAS,82,7.3,6.8,1.05,7.6,3.1,6.1,50.7,54,11.1,7.1,10.8,2.5,50.3,41.4,2016,pnr-rollman,defense
CHI,82,7.4,6.9,1.04,7.6,3.2,6.6,48.1,52.2,7.8,5,7.6,2,48.6,48.3,2016,pnr-rollman,defense
SAC,82,6.9,6.5,1.11,7.7,3,5.8,52.4,56.3,13.2,6.2,11.8,3,53,3.4,2016,pnr-rollman,defense
CLE,82,7.1,6.5,1.1,7.8,3.2,6,53.7,57.2,10.5,7.9,10.5,2.9,52.7,6.9,2016,pnr-rollman,defense
UTA,82,7.7,7.5,1.01,7.8,3.1,6.8,46.2,50.2,10.6,4.3,10.1,2.8,47.6,69,2016,pnr-rollman,defense
NYK,82,7.9,7.1,1,7.9,3,6.6,46,49.7,12.4,5.3,11.3,1.9,48.1,79.3,2016,pnr-rollman,defense
BKN,82,7.9,6.9,1,7.9,3.2,6.8,46.4,49.7,10.6,5.5,9.8,2.3,47.5,82.8,2016,pnr-rollman,defense
WAS,82,7.4,6.7,1.08,7.9,3.2,5.9,53.2,57.1,13.6,9.3,13.2,3.3,51.9,17.2,2016,pnr-rollman,defense
ATL,82,8,7.3,1,8,3.2,6.9,46.4,51,9.1,7.1,8.6,2.1,46.4,86.2,2016,pnr-rollman,defense
MIA,82,7.5,7,1.09,8.2,3.2,6.3,50.7,53.8,13.8,4.9,13.1,2.9,52.4,13.8,2016,pnr-rollman,defense
CHA,82,7.7,7.3,1.06,8.2,3.4,6.5,52,57.3,8.9,9.2,8.9,2.2,49.5,31,2016,pnr-rollman,defense
ORL,82,8.2,7.6,1.06,8.7,3.6,7,51.6,54.7,10.7,6.5,10.4,2.5,51,34.5,2016,pnr-rollman,defense
DEN,82,8.1,7.5,1.08,8.8,3.7,7,52.9,56,8.5,7,8.4,2.1,51.9,20.7,2016,pnr-rollman,defense
DET,82,8.8,8.5,1.01,8.9,3.6,7.5,48.1,52.2,10.2,7.3,9.8,2.4,47.4,65.5,2016,pnr-rollman,defense
OKC,82,8.9,8.1,1.02,9.1,3.5,7.3,48.6,51.8,13.3,8.4,13.2,4,48.1,55.2,2016,pnr-rollman,defense
IND,82,9.1,8.3,1.03,9.3,3.7,7.5,49.8,53.8,11.3,8.5,11.4,2.8,48.7,51.7,2016,pnr-rollman,defense
HOU,82,4.4,4.1,1.15,5.1,2.1,3.7,56.7,59.3,13.2,6,12.1,3.6,56.3,6.9,2017,pnr-rollman,defense
DAL,82,5.7,5.4,1.09,6.3,2.5,4.7,53.1,57.6,13.2,10,12.7,5.1,51,41.4,2017,pnr-rollman,defense
GSW,82,5.8,5.2,1.11,6.4,2.6,4.9,52.5,55.6,13.2,6.1,12.6,3.6,53.2,31,2017,pnr-rollman,defense
PHI,82,7,6.2,0.94,6.6,2.6,5.8,44.6,48.4,10.8,7,10.3,1.2,45.9,100,2017,pnr-rollman,defense
WAS,82,6.3,5.8,1.06,6.6,2.6,4.9,52.4,55.8,16.4,9.4,14.8,4.3,51.9,65.5,2017,pnr-rollman,defense
OKC,82,6.5,6,1.04,6.7,2.6,5.3,49.8,54.3,12.1,9.4,11.9,3.2,48.9,79.3,2017,pnr-rollman,defense
LAC,82,6.2,5.6,1.09,6.8,2.8,5.3,53,56.3,11.4,7.3,10.6,3.3,51.8,37.9,2017,pnr-rollman,defense
MIL,82,6.6,6.1,1.04,6.9,2.8,5.4,51.5,54.3,12,10.2,11.6,3.7,49.2,75.9,2017,pnr-rollman,defense
PHX,82,6.8,6,1.02,6.9,2.7,5.7,48,51.2,10.8,6.1,10.8,1.6,49.2,86.2,2017,pnr-rollman,defense
LAL,82,6.8,6.1,1.05,7.2,3,5.8,51.5,54.9,8.9,8,8.4,2,50.1,72.4,2017,pnr-rollman,defense
TOR,82,7.3,6.7,0.99,7.3,2.9,6.1,46.9,49.8,11.3,7.2,10.5,2.2,47.8,96.6,2017,pnr-rollman,defense
MEM,82,6.4,6.1,1.14,7.3,2.9,5.3,54.1,58.4,14.6,6.8,13.1,4,54.8,13.8,2017,pnr-rollman,defense
POR,82,7.4,6.9,1.03,7.6,3,6.2,48.5,53.7,11.3,7.4,11.2,2.1,48.8,82.8,2017,pnr-rollman,defense
SAS,82,7.1,6.7,1.08,7.7,3,6,50.2,54.2,12.3,5.3,12,2.4,52,48.3,2017,pnr-rollman,defense
BOS,82,7.3,6.8,1.06,7.7,3.1,6,51.8,55.4,12.4,8.7,11.9,3.9,50.5,62.1,2017,pnr-rollman,defense
MIN,82,7.1,6.6,1.1,7.8,3.1,6,51.6,55.9,12.4,6.7,12,3.3,52.2,34.5,2017,pnr-rollman,defense
SAC,82,7.2,6.9,1.08,7.8,3,6,49.6,55.3,13,7.1,12.8,3,50,44.8,2017,pnr-rollman,defense
ORL,82,7.4,6.7,1.11,8.2,3.3,6.1,53.6,56.7,11.7,7.7,11.3,2.5,53,27.6,2017,pnr-rollman,defense
DEN,82,7.8,7.2,1.07,8.4,3.3,6.3,52.5,56.7,12.2,9.1,11.7,1.9,51.7,51.7,2017,pnr-rollman,defense
CHI,82,7.2,6.7,1.16,8.4,3.3,6.1,54.2,59.2,12.6,6.2,11.5,2.9,54.5,3.4,2017,pnr-rollman,defense
CLE,82,7,6.4,1.19,8.4,3.4,5.7,60.1,63.5,13.2,9.2,13.2,2.9,58.1,0,2017,pnr-rollman,defense
IND,82,7.9,7.3,1.07,8.4,3.5,6.6,52.6,57.1,9.3,8.9,9.8,2.8,50,55.2,2017,pnr-rollman,defense
UTA,82,8.4,7.9,1.01,8.4,3.4,7.3,46.6,50.6,10,5.7,9.4,3.1,46.8,93.1,2017,pnr-rollman,defense
NOP,82,8.1,7.1,1.07,8.6,3.4,6.8,49.9,55,11.5,7.4,11.6,3,49.6,58.6,2017,pnr-rollman,defense
NYK,82,8,7.3,1.11,8.9,3.4,6.5,52.9,58,12.7,8.7,12.1,2.6,52.3,24.1,2017,pnr-rollman,defense
ATL,82,8.8,8,1.01,9,3.6,7.5,47.4,52.6,9.1,7.5,8.7,1.8,46.8,89.7,2017,pnr-rollman,defense
BKN,82,8,7.2,1.12,9,3.6,6.9,52.3,56.4,11.6,5.9,11.3,4,52.7,20.7,2017,pnr-rollman,defense
DET,82,8.5,8,1.06,9,3.6,7.1,50.7,55.5,9.2,10,8.2,3,48.4,69,2017,pnr-rollman,defense
CHA,82,8.5,7.8,1.12,9.5,4,7.4,53.5,58.6,8.3,6.9,7.6,2.3,51.9,17.2,2017,pnr-rollman,defense
MIA,82,8.4,7.8,1.15,9.6,3.7,7,52.5,56.7,14.5,6,14,3.8,54.2,10.3,2017,pnr-rollman,defense
HOU,82,4.3,3.9,1.14,4.9,1.9,3.5,54.4,57.3,16.7,6.2,15,4.2,55.8,27.6,2018,pnr-rollman,defense
CHA,82,5.4,4.9,1.06,5.7,2.2,4.3,50.4,53.9,14.4,7,13.8,1.6,52.6,72.4,2018,pnr-rollman,defense
DAL,82,5.4,4.9,1.13,6.1,2.6,4.7,54.8,58.4,9.7,5.4,9,2.3,54.5,37.9,2018,pnr-rollman,defense
BKN,82,5.6,4.8,1.13,6.3,2.6,4.8,53.7,58.2,10.5,5.7,10.1,3.3,52.9,41.4,2018,pnr-rollman,defense
TOR,82,5.4,4.8,1.18,6.4,2.6,4.5,58.4,63.6,10.9,9.5,10.9,2.9,54.8,10.3,2018,pnr-rollman,defense
MIA,82,6.8,6.2,0.96,6.6,2.6,5.7,45.1,49.8,10.2,7.7,10.2,1.2,45.8,100,2018,pnr-rollman,defense
LAL,82,6.4,5.5,1.03,6.6,2.6,5.3,49.3,52.2,12.4,7.8,11.8,3.2,49.5,89.7,2018,pnr-rollman,defense
SAS,82,6.5,6,1.02,6.6,2.6,5.4,48.1,52.2,11.9,7.6,11.4,2.4,48.6,93.1,2018,pnr-rollman,defense
PHI,82,6.7,5.8,1.05,7,2.8,5.7,49.8,53.4,11.9,5.1,11.7,2.9,50,75.9,2018,pnr-rollman,defense
CHI,82,6.6,5.9,1.07,7.1,2.8,5.5,51.9,55.6,12.3,8.3,12,2.9,50.6,69,2018,pnr-rollman,defense
WAS,82,6.1,5.3,1.18,7.1,2.9,4.9,58.7,62,13.3,9.3,12.7,3.8,56.5,13.8,2018,pnr-rollman,defense
POR,82,7.1,6.4,1.04,7.4,3,6.2,47.9,52.3,10.4,5.5,9.9,2.4,48.8,86.2,2018,pnr-rollman,defense
GSW,82,6.3,5.5,1.19,7.4,2.9,5,58.2,62.1,14.6,8.6,14.6,3.3,57.1,6.9,2018,pnr-rollman,defense
BOS,82,6.6,5.9,1.13,7.5,2.8,5.3,53.9,58.4,14.3,9,13.6,2.9,53.9,44.8,2018,pnr-rollman,defense
ATL,81,6.6,5.7,1.16,7.7,2.9,5.2,54.9,59.7,16.8,7.3,15.8,2.6,56.2,24.1,2018,pnr-rollman,defense
MEM,82,7.1,6.6,1.07,7.6,2.9,5.7,51.1,56.2,13.7,9.4,13.5,3.8,50.3,65.5,2018,pnr-rollman,defense
CLE,82,6.6,6.1,1.17,7.7,3.2,5.6,56.6,61,11.1,6.7,10.9,2.4,55.8,17.2,2018,pnr-rollman,defense
SAC,82,6.5,5.6,1.2,7.8,3,5.4,56.7,61.2,14.1,7.1,13.1,3.6,56.7,3.4,2018,pnr-rollman,defense
MIN,82,7,6.2,1.12,7.8,3,5.8,52.6,57.7,13.7,7.1,13,3.1,53.4,51.7,2018,pnr-rollman,defense
DEN,82,7,6.5,1.14,8,3.2,5.9,54.6,58,11.8,6.3,10.6,2.6,55,34.5,2018,pnr-rollman,defense
LAC,82,7.3,6.3,1.12,8.2,3.1,6,51.5,55.7,14,5.8,13.9,2.5,53.1,48.3,2018,pnr-rollman,defense
PHX,82,7.1,6.2,1.17,8.3,3.3,5.9,55.5,58.5,15.6,5,14.4,3.8,57.5,20.7,2018,pnr-rollman,defense
NYK,82,6.9,6.1,1.21,8.3,3.4,5.7,59.1,63,14.4,6.9,13.8,4.4,57.8,0,2018,pnr-rollman,defense
DET,82,7.6,7,1.1,8.4,3.4,6.4,53,57,12,7,10.9,2.9,52.9,58.6,2018,pnr-rollman,defense
NOP,82,7.7,6.6,1.1,8.5,3.4,6.7,50.4,53.9,11.7,4.3,11.2,3.3,51.9,62.1,2018,pnr-rollman,defense
IND,82,8.1,7.4,1.05,8.5,3.3,6.7,49.5,54.3,12.8,7.8,12.2,2.9,49.4,82.8,2018,pnr-rollman,defense
ORL,82,8.2,7.5,1.05,8.6,3.3,6.9,48.3,52.7,11.9,6.7,11.8,3,49.4,79.3,2018,pnr-rollman,defense
UTA,82,8.9,8,0.97,8.6,3.5,7.8,44.8,48.7,10,4.7,9.3,2.3,46.2,96.6,2018,pnr-rollman,defense
OKC,81,7.7,6.7,1.14,8.8,3.6,6.4,57.3,61.2,11.4,8.7,10.3,2.6,55,31,2018,pnr-rollman,defense
MIL,82,9,7.8,1.11,10,3.9,7.9,49.5,56.5,10.3,5.1,9.9,3.4,49.2,55.2,2018,pnr-rollman,defense
TOR,64,4.7,4.1,0.94,4.4,1.7,3.8,45.6,50.6,11,11,10.7,2.7,43.5,100,2019,pnr-rollman,defense
HOU,64,5.1,4.4,1.19,6.1,2.5,4.2,58.8,62,13.5,9.2,13.2,4.6,56.7,3.4,2019,pnr-rollman,defense
BKN,64,6.2,5.4,1.04,6.5,2.6,5.3,48.4,52.9,11.3,5,11.3,1.8,49.9,86.2,2019,pnr-rollman,defense
MIA,65,5.8,5.2,1.13,6.5,2.5,4.8,52.2,58.1,12.5,6.9,12.3,3.2,52.8,48.3,2019,pnr-rollman,defense
LAL,63,5.9,5.2,1.17,6.9,2.7,4.9,55.8,62,10.6,8.1,10,2.4,54.2,27.6,2019,pnr-rollman,defense
BOS,64,6.7,6,1.01,6.8,2.7,5.4,49.4,53.3,11.2,9.6,10.5,2.3,48,93.1,2019,pnr-rollman,defense
CHA,65,6.2,5.7,1.08,6.7,2.7,5,54.3,58.2,11.4,10.9,10.6,2.5,52,75.9,2019,pnr-rollman,defense
GSW,65,6.3,5.6,1.1,6.9,2.7,5.1,52.4,57.7,12.7,9.8,11.7,3.7,51.1,62.1,2019,pnr-rollman,defense
PHX,65,6,5.3,1.19,7.1,2.9,5,58,63,11.8,8.2,11.3,3.6,56,6.9,2019,pnr-rollman,defense
SAS,63,6.8,6,1.14,7.7,3,5.5,53.9,58.7,14.3,7.7,13.6,3.5,53.7,41.4,2019,pnr-rollman,defense
ATL,67,6.1,5.3,1.19,7.3,2.7,5,54.6,60,17.3,5.6,16.1,4.4,56.2,10.3,2019,pnr-rollman,defense
NYK,66,7.2,6.5,1.04,7.5,2.9,5.9,49.2,54.6,12.8,8.2,12.2,2.7,49.1,89.7,2019,pnr-rollman,defense
DAL,67,6.3,5.7,1.18,7.4,3,5.5,55.4,59.9,9.9,5.2,9.2,2.1,55.6,24.1,2019,pnr-rollman,defense
SAC,64,6.6,6,1.18,7.8,2.9,5.1,56,60.6,19,8.1,17.8,4.5,56.6,20.7,2019,pnr-rollman,defense
MIN,64,7.3,6.2,1.08,7.8,3.1,6,50.9,56.1,10.3,8,9.7,1.7,50.4,79.3,2019,pnr-rollman,defense
MEM,65,7.2,6.2,1.08,7.8,3,6,50.8,56.3,10.9,6.9,10.7,1.5,51.4,72.4,2019,pnr-rollman,defense
WAS,64,6.7,5.8,1.19,8,3.3,5.6,58.2,63,11.9,7,12.1,2.8,56.2,13.8,2019,pnr-rollman,defense
PHI,65,7.2,6.6,1.09,7.9,3.2,6.1,53.3,57.7,10.3,6.6,10,1.3,52.6,65.5,2019,pnr-rollman,defense
LAC,64,7,6.1,1.15,8.1,3.1,5.7,54.4,60.1,14.4,8.4,14.2,3.6,54,31,2019,pnr-rollman,defense
UTA,64,7.4,6.7,1.12,8.2,3.2,6.3,49.9,55.8,12.7,4.9,12.1,3.4,51.1,58.6,2019,pnr-rollman,defense
NOP,64,7.6,6.5,1.12,8.5,3.3,6.3,52.5,56.5,12.9,7,12.1,2.1,53.6,55.2,2019,pnr-rollman,defense
DEN,65,7.8,7.1,1.09,8.4,3.4,6.3,54.1,57.6,12.1,8.3,11.3,2,52.9,69,2019,pnr-rollman,defense
OKC,64,7.7,6.9,1.14,8.7,3.6,6.7,53.9,59.8,8.2,7.1,7.8,2.4,52.2,44.8,2019,pnr-rollman,defense
POR,66,7.5,6.6,1.15,8.7,3.4,6.4,54,59.3,12.1,5.6,11.3,2.2,53.5,34.5,2019,pnr-rollman,defense
CHI,65,8.3,7.5,1.06,8.8,3.5,6.8,51.7,56.3,10.5,10.3,9.4,2.6,49.8,82.8,2019,pnr-rollman,defense
DET,66,7.4,6.7,1.19,8.7,3.5,6.3,56.3,60.7,12.1,6.4,12.1,3.7,55.6,17.2,2019,pnr-rollman,defense
CLE,65,7.4,6.8,1.21,9,3.7,6.5,56.6,62.7,8.9,6,8.5,2.3,55.5,0,2019,pnr-rollman,defense
ORL,65,8.2,7.5,1.13,9.2,3.7,7.1,52.7,59.2,9.1,7,8.9,2.6,51.3,51.7,2019,pnr-rollman,defense
IND,65,8.1,7.3,1.15,9.3,3.8,7.2,53.1,57.6,9.5,4.8,9.1,3,53.3,37.9,2019,pnr-rollman,defense
MIL,65,9.8,8.5,0.98,9.7,3.7,8.6,42.8,49,8.6,5.3,8.6,1.7,44.2,96.6,2019,pnr-rollman,defense
BKN,82,10.5,9.7,0.97,10.2,4.5,9,49.5,49.9,10.4,7.2,10.2,3.4,48.3,17.2,2015,pnr-rollman,offense
OKC,82,9.7,8.6,1.03,10,4.3,8.1,53.1,54.2,9.4,9.2,8.9,1.8,51.1,58.6,2015,pnr-rollman,offense
ORL,82,9.5,8.8,1.01,9.6,4.1,8.3,49.4,52.3,7.3,7,7.2,1.8,48.3,44.8,2015,pnr-rollman,offense
NOP,82,9.3,8.6,1.03,9.6,3.7,7.6,48.6,51.9,13.4,7.2,12.9,2.1,50,72.4,2015,pnr-rollman,offense
ATL,82,9.2,8.6,1.03,9.5,3.8,8.1,47.7,53,7.9,6.7,7,2.1,47,62.1,2015,pnr-rollman,offense
MIA,82,8,7.6,1.17,9.3,3.5,6.5,54.5,58.3,16.4,5.8,15.8,4.3,56.1,100,2015,pnr-rollman,offense
LAC,82,8.8,8.3,1.05,9.2,3.9,7.3,53,55.8,12.4,6.4,11.5,2.6,51.9,79.3,2015,pnr-rollman,offense
DEN,82,8.5,7.7,1.05,8.8,3.5,7,50.6,52.3,14.6,6.5,13.8,3.6,51.6,75.9,2015,pnr-rollman,offense
MIN,82,9,8.4,0.97,8.8,3.5,7.4,47.6,49.8,11.8,10,11.1,3.2,46.8,24.1,2015,pnr-rollman,offense
CHA,82,7.7,7.2,1.1,8.4,3.2,6.6,49.3,54.7,11.9,5.2,11.3,2.4,51.2,93.1,2015,pnr-rollman,offense
DAL,82,8,7.5,1.03,8.2,3.2,6.6,48.1,52.6,12.6,6.9,11.2,2.1,49.7,69,2015,pnr-rollman,offense
WAS,82,7.4,6.8,1.07,7.9,3.3,6.3,52.8,55.1,10.1,6.8,9.7,2.1,52,89.7,2015,pnr-rollman,offense
BOS,82,8.2,7.3,0.96,7.9,3.2,6.9,45.9,49.3,10.7,7.7,9.5,2.5,45.4,10.3,2015,pnr-rollman,offense
CLE,82,6.7,6.3,1.16,7.8,3,5.5,55,60,13.8,6.2,13.4,1.8,55.9,96.6,2015,pnr-rollman,offense
UTA,82,7,6.6,1.06,7.4,2.9,5.5,53.1,54.4,16.7,7.9,14.7,3.2,53.7,86.2,2015,pnr-rollman,offense
SAS,82,7.7,7.4,0.95,7.3,3.1,6.6,47.5,48.5,9.8,7.3,9.5,2.2,47.3,3.4,2015,pnr-rollman,offense
POR,82,7.3,6.7,0.99,7.3,2.7,5.6,48.4,53.1,15.3,11.8,14.5,3.7,47.3,34.5,2015,pnr-rollman,offense
IND,82,7.3,6.7,0.97,7.1,3,6.2,48.4,49.5,11.6,6.5,11,2.5,48.8,20.7,2015,pnr-rollman,offense
