team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
DEN,82,9,8.2,1.27,11.4,4.9,7.3,67.1,67.1,13.7,9,13.6,4.3,63.5,55.2,2017,cut,offense
UTA,82,8.9,8.4,1.28,11.3,4.8,7.2,66.2,66.2,16.5,7.3,16,4.8,64.1,62.1,2017,cut,offense
NOP,82,8.4,7.5,1.33,11.1,4.8,7,68.3,68.3,14,5.5,14.2,3.5,66.7,89.7,2017,cut,offense
CLE,82,8,7.4,1.38,11.1,4.5,6.5,69.8,69.8,19,4,17.5,3.7,70.2,100,2017,cut,offense
LAC,82,8,7.3,1.33,10.7,4.7,6.6,70.4,70.4,14.1,6.5,13.3,3,67.7,86.2,2017,cut,offense
MIL,82,8.8,8.3,1.2,10.6,4.4,7.2,61.5,61.5,15.5,6.5,14.5,3.2,61.1,17.2,2017,cut,offense
NYK,82,8.1,7.3,1.29,10.4,4.4,6.9,63.7,63.7,14.2,3.9,14.1,3.9,64.1,65.5,2017,cut,offense
MIN,82,7.9,7.3,1.31,10.3,4.4,6.6,65.8,65.8,15,5.6,14.5,4.5,65.4,72.4,2017,cut,offense
ORL,82,8.1,7.5,1.26,10.2,4.3,6.9,63.1,63.1,14,4.5,13.7,3.5,63.4,44.8,2017,cut,offense
PHX,82,7.6,6.8,1.31,9.9,4,6.1,66,66,20.1,4.2,19.9,5.1,66.8,75.9,2017,cut,offense
TOR,82,7.4,6.8,1.3,9.6,4.2,6.2,67.5,67.5,12.7,7.4,12.2,3.6,64.6,69,2017,cut,offense
LAL,82,7.5,6.6,1.27,9.6,4.1,6.3,66,66,14.7,6,13.9,4.2,64.8,58.6,2017,cut,offense
POR,82,8,7.4,1.19,9.5,4.1,6.6,61.7,61.7,13.8,7.6,14,4,59.6,10.3,2017,cut,offense
MIA,82,7.4,6.9,1.26,9.3,3.9,6,65.3,65.3,14.9,7.6,14.3,3.6,63.5,48.3,2017,cut,offense
SAC,82,7.7,7.3,1.2,9.3,4.2,6.7,62.1,62.1,10.4,6,10.4,3.5,60.5,13.8,2017,cut,offense
DAL,82,6.6,6.3,1.36,9,3.7,5.3,69.7,69.7,18.7,5.9,17.9,4.4,69.3,96.6,2017,cut,offense
ATL,82,7.2,6.6,1.25,8.9,3.9,6,65.8,65.8,13.1,7.8,12.4,3.9,62.9,31,2017,cut,offense
CHA,82,6.8,6.2,1.31,8.9,3.7,5.5,67.3,67.3,19.5,5.5,19.1,5.4,66.2,79.3,2017,cut,offense
DET,82,7,6.5,1.25,8.8,3.7,5.9,62.7,62.7,14.2,4.2,14.1,2.6,63.5,34.5,2017,cut,offense
MEM,82,7.3,6.8,1.17,8.5,3.6,6,59.3,59.3,13.9,7.1,13.4,4.4,58.5,3.4,2017,cut,offense
BKN,82,7.2,6.5,1.18,8.5,3.5,5.8,61.3,61.3,15.5,7.7,14.6,3.9,60.5,6.9,2017,cut,offense
SAS,82,6.7,6.3,1.25,8.4,3.6,5.6,64.6,64.6,14.9,5.6,14,3.8,63.8,41.4,2017,cut,offense
CHI,82,6.5,5.9,1.25,8.1,3.3,5.2,62.8,62.8,17.2,6,17,4.5,62.8,37.9,2017,cut,offense
BOS,82,6.5,6,1.22,7.9,3.3,5.6,59.9,59.9,14.3,3.6,14.5,4.2,61.1,24.1,2017,cut,offense
OKC,82,6.2,5.5,1.26,7.8,3.4,5.1,65.9,65.9,14.8,5.9,14.2,3.6,64.3,51.7,2017,cut,offense
IND,82,6.5,6,1.16,7.5,3.1,5.2,59,59,15.5,6.6,14.9,2.6,59.1,0,2017,cut,offense
HOU,82,5.8,5.4,1.21,7,3,4.7,64.6,64.6,15.1,7.9,14.6,4,62.1,20.7,2017,cut,offense
GSW,82,11.5,10.3,1.28,14.7,6.3,9.5,67,67,13.4,7.7,13.4,3.5,64.6,65.5,2018,cut,offense
POR,82,10.2,9,1.26,12.8,5.3,8.1,65.9,65.9,14.9,8.9,14.6,3.1,63.7,37.9,2018,cut,offense
PHI,82,9.9,8.6,1.3,12.8,5.3,8.1,66.3,66.3,14.7,5.9,13.7,2.7,65.5,69,2018,cut,offense
LAL,82,9.3,8.1,1.32,12.2,5.3,7.6,69.1,69.1,15.1,6,14.3,3.4,66.9,75.9,2018,cut,offense
IND,82,9.6,8.7,1.25,12,5.2,8.1,64.5,64.5,13.4,5.9,13,4.1,62.9,31,2018,cut,offense
